,country,year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,suicides_no,population,rate,per100k,GPI
17,Austria,2012,7.400688647999999,10.70440388,0.9451423879999999,71.68000031,0.919703901,0.11593899099999999,0.770585775,0.8222477440000001,0.15667499599999998,0.376573861,1.39467001,1.586992741,1276.0,8031276.0,0.0001588788630847701,15.88788630847701,1.328
18,Austria,2013,7.498802662,10.6987648,0.9498091940000001,71.81999969,0.921734452,0.166400507,0.6789368990000001,0.787312806,0.162603319,0.417099237,1.410333991,1.620333314,1291.0,8079615.0,0.00015978484123315283,15.978484123315283,1.25
19,Austria,2014,6.9499998089999995,10.69920254,0.8989204759999999,71.95999908,0.8850268720000001,0.11564018599999999,0.566931307,0.7796927690000001,0.17014955,0.40769541299999995,1.331010818,1.6218787430000001,1314.0,8141165.0,0.0001614019615128793,16.14019615128793,1.2
20,Austria,2015,7.07644701,10.69885254,0.9281103009999999,72.09999847,0.900305152,0.09687189,0.55747962,0.798262954,0.16446903300000001,0.454789877,1.263259649,1.564293861,1251.0,8219386.0,0.00015220114981824676,15.220114981824675,1.198
21,Austria,2016,7.048071861,10.70244312,0.9263185859999999,72.40000153,0.888513982,0.078159958,0.52364099,0.755902588,0.19742384600000001,0.43263822799999996,1.12349689,1.579037547,1204.0,8319211.0,0.00014472526300871562,14.472526300871563,1.278
22,Bahrain,2011,4.82397604,10.60074043,0.90786773,66.58000183,0.869870365,-0.059311684,0.5825224520000001,0.543587804,0.513719201,,-1.084079385,0.45281717200000005,18.0,1103462.0,1.631229711580462e-05,1.6312297115804621,2.398
23,Bahrain,2012,5.0271868710000005,10.62035942,0.911349595,66.86000061,0.6818228959999999,,0.437915266,0.589015484,0.380814761,,-1.223989725,0.467846751,19.0,1201778.0,1.580990831917376e-05,1.580990831917376,2.247
24,Bahrain,2013,6.689711094,10.66149044,0.8837805390000001,67.13999939,0.8092059490000001,,0.524703264,0.7683830859999999,0.306209415,,-1.32644105,0.49008673399999997,5.0,1214492.0,4.116947662067762e-06,0.41169476620677614,2.109
25,Bahrain,2014,6.165133953,10.688241,,67.41999817,,,,,,,-1.109268665,0.491515696,9.0,1213966.0,7.4137166938777524e-06,0.7413716693877752,2.225
26,Belarus,2011,5.2253079410000005,9.7507267,0.909887791,62.88000107,0.656010866,-0.17566178699999999,0.671938658,0.520889699,0.249455392,,-0.873988688,-1.010501742,2172.0,8947320.0,0.0002427542549053795,24.27542549053795,2.283
27,Belarus,2013,5.876466273999999,9.778838158,0.922505975,64.04000092,0.7234312890000001,-0.18531525100000001,0.653039157,0.6087141629999999,0.206219658,0.507824779,-0.7692347759999999,-0.8343037959999999,1902.0,8910240.0,0.00021346226364273016,21.346226364273015,2.117
28,Belarus,2014,5.8124008179999995,9.795022964,0.8802588579999999,64.62000275,0.647184551,-0.056135095999999995,0.68150872,0.6189292670000001,0.208535567,0.507746696,-0.631544709,-0.6599788670000001,1741.0,8906977.0,0.00019546474634435455,19.546474634435455,2.0780000000000003
29,Belgium,2011,7.111363888,10.627375599999999,0.9369554520000001,70.91999817,0.880153596,-0.01785933,0.711043894,0.834544539,0.225056365,0.289129466,1.139849305,1.472870708,2088.0,10355126.0,0.0002016392654227481,20.16392654227481,1.413
30,Belgium,2012,6.935122012999999,10.62246037,0.92711705,71.04000092,0.8552666309999999,-0.053328025999999994,0.7575725320000001,0.820485771,0.23827680899999998,0.44011718,1.136510849,1.466563344,2026.0,10442637.0,0.0001940122978515867,19.40122978515867,1.376
31,Belgium,2013,7.10366106,10.61957264,0.9091861840000001,71.16000366,0.8907110690000001,0.013638751000000001,0.573664308,0.797417402,0.21713894600000003,0.554124534,1.156564236,1.502777338,1895.0,10526149.0,0.0001800278525413235,18.002785254132352,1.339
32,Belgium,2014,6.855329037000001,10.63007927,0.9435491559999999,71.27999878,0.86095351,-0.001687139,0.511975765,0.797633767,0.251557052,0.46911162100000003,1.033804297,1.40902257,1899.0,10578848.0,0.00017950914882225363,17.950914882225362,1.354
33,Belgium,2015,6.904219151,10.63845348,0.885208845,71.40000153,0.869474947,0.059581742,0.46878463,0.80517751,0.239958704,0.459024221,0.987220764,1.440813541,1867.0,10624356.0,0.0001757282982610899,17.57282982610899,1.365
34,Bosnia and Herzegovina,2011,4.994670868,9.200452805,0.725242853,66.73999786,0.333312094,-0.035492908,0.924784362,0.596072555,0.325734705,,-0.48977494200000005,-0.357607812,5.0,3673312.0,1.3611694296591197e-06,0.13611694296591198,1.893
35,Bosnia and Herzegovina,2014,5.248954296,9.260727882000001,0.787651718,66.86000061,0.411937386,0.231976315,0.976339638,0.531435847,0.262175202,0.095099099,-0.04507716,-0.258664042,313.0,3654169.0,8.5655589547172e-05,8.5655589547172,1.902
