country,year,Life Ladder,Log GDP per capita,Freedom to make life choices,Generosity,Confidence in national government,suicides_no,GPI
Trinidad and Tobago,2011,6.518745899,10.3421526,0.775391877,0.057959624,0.520987928,139,2.051
Turkey,2011,5.271944046,9.886386871,0.445606649,-0.246597037,0.596201837,1148,2.411
Turkey,2012,5.309076309,9.917490959,0.470903218,-0.220470712,0.53099966,1450,2.344
Turkey,2013,4.888177395,9.982795715,0.540723383,-0.234459624,0.538311779,1810,2.437
Turkey,2014,5.579794407,10.01690006,0.649196088,-0.028981781,0.556478322,1617,2.402
Turkey,2015,5.514465332,10.05999851,0.653196752,-0.021746771,0.48608464,1532,2.363
Turkmenistan,2011,5.791754723,9.324788094,,-0.002603338,,130,2.248
Turkmenistan,2012,5.463827133,9.412086487,0.78556335,-0.144082606,,138,2.242
Turkmenistan,2013,5.391762733,9.490698814,0.704529464,-0.092962168,,101,2.154
Turkmenistan,2014,5.787379265,9.570275307,0.804678082,0.01021129,,136,2.093
Turkmenistan,2015,5.791460037,9.615293503,0.701358378,0.070877671,,133,2.135
Ukraine,2011,5.083132744,9.021823883,0.57866931,-0.208271682,0.236262515,8973,1.995
Ukraine,2012,5.030342102,9.026679039,0.563649774,-0.203787565,0.236936122,9058,1.953
Ukraine,2014,4.297329903,9.017176628,0.533267498,0.103183851,0.242528632,7968,2.546
Ukraine,2015,3.964542866,8.917972565,0.43059203,-0.01374052,0.084303714,7574,2.845
United Kingdom,2011,6.869248867,10.50802135,0.899774432,0.332200229,0.467890024,4393,1.631
United Kingdom,2012,6.880784035,10.51577282,0.888970494,0.367420435,0.421262175,4444,1.609
United Kingdom,2013,6.918055058,10.52939415,0.905278027,0.342439383,0.379231632,4824,1.787
United Kingdom,2014,6.758147717,10.55194569,0.85703969,0.350521028,0.422672093,4788,1.798
United Kingdom,2015,6.515445232,10.56718445,0.832926095,0.295849711,0.456811696,4910,1.685
United States of America,2011,7.115138531,10.81564426,0.863202393,0.152239069,0.382531583,39508,2.063
United States of America,2012,7.026226997,10.83013153,0.822662294,0.206243396,0.348855615,40596,2.058
United States of America,2013,7.249285221,10.83965302,0.79225564,0.26556313,0.288647503,41143,2.126
United States of America,2014,7.151114464,10.85749722,0.866076887,0.212869316,0.348671198,42769,2.137
United States of America,2015,6.863946915,10.8781538,0.848753452,0.210956484,0.346936464,44189,2.038
Uruguay,2012,6.449728489,9.824302673,0.870590031,0.05741559,0.584287286,599,1.628
Uruguay,2013,6.444464684,9.866334915,0.888278008,-0.0529311,0.524399817,546,1.528
Uruguay,2014,6.561443806,9.894828796,0.904332876,-0.082659952,0.595346212,591,1.565
Uruguay,2015,6.628080368,9.8950243,0.916879654,-0.042141985,0.550558805,630,1.721
Uzbekistan,2011,5.738744259,8.405142784,0.934132695,0.040412325,,1640,2.26
Uzbekistan,2012,6.019331932,8.469233513,0.913550138,-0.039794546,,1835,2.219
Uzbekistan,2013,5.939986229,8.530575752,0.949539959,-0.036925334,,1950,2.333
Uzbekistan,2014,6.049212456,8.588744164,0.954481184,0.057863686,,2095,2.179
